,url
0,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=802&docId=476942292&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=1&search_sort=0&spq=0
1,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=473837006&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=2&search_sort=0&spq=0
2,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=31506&docId=471734115&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=3&search_sort=0&spq=0
3,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=454599450&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=4&search_sort=0&spq=0
4,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8020608&docId=467746606&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=5&search_sort=0&spq=0
5,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50104&docId=476776853&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=6&search_sort=0&spq=0
6,https://kin.naver.com/qna/detail.naver?d1id=5&dirId=50502&docId=468721790&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=7&search_sort=0&spq=0
7,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=468616201&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=8&search_sort=0&spq=0
8,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=31504&docId=468670813&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=9&search_sort=0&spq=0
9,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8020608&docId=476998844&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=10&search_sort=0&spq=0
10,https://kin.naver.com/qna/detail.naver?d1id=11&dirId=111606&docId=450616130&qb=66+47IOd66y8IOydjOyLneusvOyymOumrOq4sA==&enc=utf8&section=kin.qna_ency&rank=11&search_sort=0&spq=0
