,Date,ID,Comment,Like
0,2024-11-08,@김한솔-j4z,"출시일에 사서 2인가구 많이 쓰지도 않았고, 다용도실에 놔뒀고, 주의할 음식도 기억해두고 양도 찔끔씩만 넣고 항상 세척하고 잘게잘게 잘라서 버렸는데 정말로 깔끔하게 썼다고 자부할수 있는데 이거진심 냄새 겁나 심각하고, 온집안에 악취가 진동하고 미생물한테 식빵도 주고 탈취제습도 쓰면서 잘썼다생각했는데, 한달썼다고 이렇게 되면 과대광고 아닌가싶어서 바로 반품요청했습니다. 이 돈주고 사기 안아깝다고 생각했는데, 꾸리꾸리 쉰내가 걍 계속됩니다.. 최악의 경험이고, 잇섭님도 지금은 어떠신지 궁금합니다....ㅠㅠ 찾아보면 저랑 같은 후기분들 진짜 많아요. 출시한것도 가을쯤 한게 냄새 덜날때 할려고 한것같은 의심까지 듭니다....휴.. 여름엔 더하겠죠, 미생물은 못쓸것같아요.",1
1,2024-11-08,@ysdad2570,음식물 고온으로 말려서 갈아버리는게 시간도 빠르고 아무거나 넣어도 되니까 편한거 같은데 미생물 처리기가 더 나은점이 궁금합니다,0
2,2024-11-05,@질문빌런-f5i,이제 전기 발전만 하면 완벽할듯,0
3,2024-11-05,@moisbrion8922,예전에 사용했는데 하루종일 작동해서 전기를 많이 사용했는데 이제품은 어떤가요??,0
4,2024-11-04,@mhl9901,오프닝 진짜 개킹받네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
5,2024-11-03,@koonzando,근데 저 흙도 결국 치워야 하는 거 아닌가? 흠... 전기값에 기계값에... 그냥 운동삼아 잠깐 버리고 오는게 깔끔할 듯,0
6,2024-11-03,@이어폰-v2b,와 저런 고문에도 버티다니 졸라 강하긴 하네. 올초에 린클 사서 아직 계속 써야하지만 ㅎㅎ,0
7,2024-11-02,@7sud76,가격 장난함? 거품 엄청 꼈네<br>이건 거르는게 답이다 저 돈주고 사주고싶은 생각이 전혀 안나네,0
8,2024-11-02,@jopong777,근데요.... 그냥 버리면 되지 저런걸 쓰는 이유는 뭘까요? 가격 사용법 전기 생각보다는 작은주입구 등등... 그냥 1층에 버리러 가는게 낫지 않나요? 진짜 왜 음식물처리기를 쓰는지 모르겠어요. 왜일까요?,1
9,2024-10-31,@보라색마법맛,미생물 제제는 1회에 한번씩 교체해줘야 하나요?,0
10,2024-10-31,@아얽얼,처리된건 어디다 버리나오??,0
11,2024-10-30,@ziegmaier1494,"아무리 봐도 지엘플러스 제품이랑 비슷한데.... 뚜껑 방식도 동일하고, 물 떨어지는거나.. 교반봉 생김새도 비슷하고... 뭔가 중국 ODM인가?? 하고 의문을 가졌는데, 지엘플러스에서 생산하는 제품이었군요........",2
12,2024-10-30,@keyimnandj,다른제품 대비 장점을 모르겠는데 분해속도 비슷한데요,0
13,2024-10-30,@_hodu6316,가격 미쳤넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1
14,2024-10-30,@성이름-p3c4u,비싸고 나발이고 편한게 최고다,0
15,2024-10-29,@confideconfide2243,저 미생물을 다른 기기에 넣으면 결과가 어떠려나,0
16,2024-10-29,@national_power_level,링클이 최고존엄이지 ㅈ소들꺼삿다  제조불량으로 당일환불때림  덤으로온 식세기는 돈주고 삼..ㅠㅠ 하아,0
17,2024-10-29,@신소정-k3j,백퍼 냄새~소똥처럼 걸쭉해집니다<br>그것도 퍼서 버려야합니다<br>그냥  내다버리세요ㅠ,0
18,2024-10-29,@전도사-j6x,사무실이 무슨 전자 종합상가네 ㅋㅋ,0
19,2024-10-29,@booza369,벌레 생깁니다,0
20,2024-10-29,@user-kkk13579,이거.... 나오기전에 고객센터 전화해서 가격부터 물어봤습니다. 이야기 안해줌.<br>전에 20년넘게요식업장에서 대용량 사용한적이 있어서 관심있었읍니다. 솔직히 좋았습니다. 단 분해되지않는 종류가 많다는 점이 불편했지요.<br>가정에서는 쓸만하지 않을까 생각했는데.... 출시하고 가격보고 이런씨 ㅋㅋㅋ<br>이건 60만원선이면 살만하다 생각합니다. 거품 너무 심함. 지금 보니 벌써 할인 시작하네요.,0
21,2024-10-29,@ClayEllyLily,"잇썹 초심 잃었네. 4세대가 왜 4세대인지, 세대별로 스펙 차이와 실질적 성능 차이가 어떻게 되는지 설명해줄 거라 기대했는데..<br><br>돈 받고 하는 광고라고 하더라도 어느정도 객관성을 보여주는게 잇썹의 차별적 경쟁력이었는데, 이젠 그냥 광고매체로 전락한 느낌",2
22,2024-10-28,@gholbang,음 ... 그냥 미생물 많은 흙속에 묻어놓으면 ... 금새 삭을건데,0
23,2024-10-27,@blue__tea,음식물 처리 담당으로서 간절한데 지금 사는건 아닌거 같다,0
24,2024-10-27,@syk4902,"근데 저 음식물처리기를 굳이 실내에 두는 사람이 있음?<br>주택 살 때에는 그냥 실외에 창고 같은 거에서 썼고, 아파트에서는 주방쪽 베란다 공간에 두고 써서 디자인에 대해서는 10년 가까이 쓰면서 생각해 본 적이 없는데 굳이...;;",0
25,2024-10-26,@yanghoson425,저런 인트로 광기 좋아,0
26,2024-10-26,@틱쳐틱쳐,귀족 가전이네요 ㅠ,0
27,2024-10-25,@foundingfather1948,전에 다른제품 좋다해서 한달 써보고 바로 중고로 팔고 그냥 부지런 해지기로 했어요.,0
28,2024-10-24,@Thankssato,에라이 유료광고네 거른다,5
29,2024-10-24,@emrdole948,nx1 출시 10주년 기념 리뷰 기원 44회차,0
30,2024-10-24,@TheKimeon,그냥. . . 쓰레기 냉동실에 좀 모아놨다.... 버리는게 더 편할거 같은디//// 오히려 더 번거롭네.... 허허,0
31,2024-10-24,@hshs-o3x,2년가까이 링클 써봤는데 섬유질있는거 조심하세요ㅠ 무 시래기 안자르고 넣었더니 교반봉에 엉켜서 부러지더라구요😂,0
32,2024-10-24,@DoTroll5610,처리기 가격 보니 냉동고 작은걸 따로 사고 음쓰 나올 때마다 다 얼려버리는게 어떨까하는 생각마저 드는,1
33,2024-10-23,@g-yh9mc,식세기도 혓바닥만 있으면 필요없는데 음쓰기가 왜 필요한거죠?,0
34,2024-10-23,@remy81011,이건 너무 비싸...광고지만 적당히 해라,1
35,2024-10-23,@성이름-g1w5d,가격 애. ㅁ 디졌네요,1
36,2024-10-22,@이아무개-n8r,린클 쓰는데 개좋음 흙 비우는 재미도 있음,0
37,2024-10-22,@하루-l7w3r,전기 사용기기 그만 늘리고 싶어서 그냥 운동갈 때 음쓰버립니다,1
38,2024-10-22,@huesang,"눈에 보이진 않아도 음식물을 분해하는 과정에서 온실가스인 메탄과 이산화탄소가 방출되지 않을까 싶은데... 판매하는 곳마다 이런 부분에 대한 실험결과를 보여주지도, 검증하지도 않아서 아쉬움.",2
39,2024-10-22,@정상룡-g5c,아 이번에 신축 들어가면 건조기랑 음식물 건조기 너무 사고싶다,0
40,2024-10-21,@yeah9784,이야 이거 완전 흙 메이커네,0
41,2024-10-21,@dntjd94,하지말라는거 다 하네. ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0
42,2024-10-21,@adsf5400,가격을 돌렸나봐요... 더럽게 무섭네요...흑,0
43,2024-10-21,@jy6549,린클하고 어떤 차이가 있나요?,0
44,2024-10-20,@만테,뭔 가격을 이렇게 뻥튀기 해놨어 도른자,0
