,Date,ID,Comment,Like
0,2024-10-25,@이환희-o8w,전원은 냉장고처럼 항상 켜두는건가요,0
1,2024-09-14,@danielyun8356,사망여우님 채널에 나온 제품이군요,1
2,2024-09-09,@shlee9228,사망여우 정보 확인 하세요. 제조사 사*꾼 집단이라고 합니다.,0
3,2024-09-08,@고고-m4e,사막여우 보고 린클 어디서 봤는데 하고 찾아보니 잇섭이네,1
4,2024-09-07,@johnclock,린클 어디서 봤나 했는데 여기였네…. 예전에 잇섭님 믿고 사볼까 했는데 안사길 잘함;;,0
5,2024-09-06,@user-emiya_kookejja,사망여우 보고 호다닥 왔습니다,0
6,2024-09-06,@frodos47,린클 사망여우 채널에 등장,2
7,2024-09-06,@TheUMma11,사망여웁니다,1
8,2024-09-06,@gggggarden,사기네,0
9,2024-09-06,@2서준,린클 사기 기업인데 입장은요?<br>사망여우 영상 올라왔습니다<br>가짜 광고하는 회사의 대표가 차린 기업이라는 것이라는,2
10,2024-09-06,@뚝섬역로꼬,헐 린클 사기 기업인데 돈 받고 광고해준거였네,4
11,2024-08-26,@해피문-s6g,냄새 많이  납니다!!!  4인식구   3달째  사용중인데~  <br>다용도실에 놓고 쓸때  과하게 납니다<br>그래서  후회되었어요<br>그리고 너무 비싼것같아요<br>솔직히 30만해도 될것같은데<br>무엇 때문에 비싼지 모르겠네요,1
12,2024-08-19,@이연욱-g6u,"휴렉, 절대 문닫아야 하는 업체로 최악입니다.  개인적으로 렌트로 사용중인데 <br>사용중 제품의 하자임에도 불구하고 소비자에게 책임을  전가하면서<br>28만원의 교체비를 요구하는 곳입니다.<br>소리는 씽크대가 흔들릴 정도로 시끄럽고, 심지어 먹고 난 떡국 같은 것 조차<br>집어넣을 수 없습니다.  과일 껍데기등 심지어 깻입도 집어넣으면 실 같은 <br>것이 나와 칼날을 휘감는다고 넣지 말라고 하니 이런 최악의 쓰레기 제품은 <br>비추입니다. 절대 절대 사지 마세요!!!",2
13,2024-07-03,@윤서-b7i,"휘틀 음식물 처리기도 추천드립니다. 소음이나 냄새문제 하나도 없고, 자동세척기능으로 청결하개 유지할 수 있어요",1
14,2024-06-28,@최정인-t8r,저 흙 교체시기는 언제인가요?,0
15,2024-06-10,@卞默然,잇석이 키가 작네,0
16,2024-05-18,@ohjienprincess,"제생각인데... 달걀껍질 말고, 빵,밥,과일껍질넣어서 미생물 키우는게 아닌가?그렇게 생각하고있습니다. 나중에 화분토비줄때 살려고 맘먹고있어요",0
17,2024-04-06,@user-ZzzX,분해 되는거 보고 싶다,0
18,2024-03-28,@퐁당풍덩-j1h,미생물방식 사서 2년정도 썼는데 아주 만족합니다. 여름에 주방에 날파리가 아예 안보여요. 진짜루요 ㅋㅋ,0
19,2024-02-18,@allendongwoo,미생물 먹방해주세요,0
20,2024-01-07,@구릉-r7y,"휴* 정말 비추입니다. 일단 냄새가 너무 많이 나고, 회사 자체가 소규모라 문제가 생기면 해결할수가 없는 시스템입니다. 절대로 기계문제는 없다고합니다. 문제가 생기는 순간 소비자 몫으로 돌리고 빠져나가는 전형적인 호구잡이 회사입니다. 휴*광고글많으니 잘판단하시고 거르세요. AS또한 인력이 없어 최악입니다. 제발 피해자가 나오지않기를 바래요.",3
21,2024-02-15,@순백의주문서,덕분에안삿네용 ㄷㄷ감사합니다,0
22,2024-01-03,@블루슈가맘,"저는 21년부터 사용중인데 필터, 배양토 한번도 안갈고 아직도 잘 사용하고 있어요. 저만의 꿀팁은 음쓰 버릴때 입 닦은 휴지, 부엌에서 쓴 키친타올등  사용했던 휴지, 키친타올들을 같이 넣어요. 그러면 분해도 잘 되고 좀더 뽀송뽀송한 상태 유지되요. 물티슈는 넣어보진 않았지만 분해 안되고 교반봉에 걸려서 고장날거 같으니 절대 넣지마세요.",1
23,2023-12-17,@나루비친구,저도 쓰는중인데 신세계 였습니다;;;;;<br>미생물 모아서 봄에 상추 키워 볼라구요,0
24,2023-10-17,@hakwookim5779,이거사지마라 중간에 안되서 떡진다 후회하지마라,2
25,2023-10-07,@kimchigook6673,싱크대에 설치된 분쇄기에서 나온 찌꺼기를 미생물 분해기에 투입하면 확실한 조합일것같은데 그건 실험 안해봤네요. 어쨌든 화분에 식물 키우면 분갈이 할때 저 흙도 좀 섞어 넣으면 식물이 잘 자랄것같은데,0
26,2023-09-29,@lonelili,제가 이해가 안되는 부분이 음식물 계속 넣어주면 계속 분해를해서 흙이 발생할텐테 넘치지 않아요? 그리고 만약에 일부를 버려야하는 상황이라면 나중에 모든 미생물이 버려지지 않을까요? <br>제가 유치한 질문을 해서 죄송해요 제가 외국인이거든요 근데 한국에 있는 지인들을 통해 이런 제품 구매 생각이 있어요,0
27,2023-10-11,@아픈거아님,일정 용량 이상이 넘어가면 (흙) 따로 일반 쓰레기로 버리면 됩니다! 미생물이 함께 버려지더라도 미생물이 계속 성장 하기 때문에 상관 없습니다~,0
28,2023-09-01,@pppsss-x4w,사망여우 저격 ㄷㄷ,7
29,2023-08-20,@wdrb,사망여우 님 유툽 언넝 보셔야 할듯요.,5
